Feature selection fn,No of features,Imputer,Scaling Type,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Target column,Features,Tuned Model,index
Chi Square,7,KNN_Imputer,Standard Scaling,Random Forest Classifier,0.9256,0.953,0.742,0.8045,0.7705,0.7263,0.7281,0.121,Churn,"Tenure,PreferedOrderCat,SatisfactionScore,Complain,DaySinceLastOrder,CashbackAmount",,rf
ANOVA F-value classification,8,KNN_Imputer,Normalization,Random Forest Classifier,0.9393,0.968,0.7436,0.8792,0.8045,0.769,0.7735,0.181,Churn,"Tenure,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount",,rf
Information Gain Classification,7,Simple_Imputer,Standard Scaling,Light Gradient Boosting Machine,0.8987,0.9139,0.6022,0.7484,0.6649,0.6064,0.6128,0.126,Churn,"CustomerID,Tenure,PreferedOrderCat,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount",,lightgbm
Custom Features,6,KNN_Imputer,Standard Scaling,Random Forest Classifier,0.9129,0.9217,0.6745,0.7794,0.7217,0.6705,0.6739,0.039,Churn,"Tenure,MaritalStatus,Complain,PreferedOrderCat,OrderCount,CashbackAmount",,rf
Custom Features,6,KNN_Imputer,Normalization,Decision Tree Classifier,0.9178,0.875,0.7329,0.768,0.7489,0.6999,0.7009,0.006,Churn,"Tenure,MaritalStatus,Complain,PreferedOrderCat,OrderCount,CashbackAmount",,dt
Custom Features,6,Simple_Imputer,Min Max Scaling,Decision Tree Classifier,0.9071,0.8668,0.7133,0.7305,0.7212,0.6655,0.666,0.004,Churn,"Tenure,MaritalStatus,Complain,PreferedOrderCat,OrderCount,CashbackAmount",,dt
Chi Square,9,Iterative_Imputer,Normalization,Random Forest Classifier,0.9421,0.9674,0.7724,0.8697,0.8176,0.7834,0.7857,0.042,Churn,"Tenure,CityTier,PreferedOrderCat,SatisfactionScore,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount",,rf
Chi Square,9,KNN_Imputer,Normalization,Light Gradient Boosting Machine,0.9102,0.9399,0.6486,0.7849,0.7089,0.6563,0.6614,0.125,Churn,"CustomerID,Tenure,CityTier,PreferedOrderCat,SatisfactionScore,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount",,lightgbm
Chi Square,9,KNN_Imputer,Standard Scaling,Random Forest Classifier,0.9343,0.9629,0.7331,0.8563,0.789,0.7504,0.7542,0.04,Churn,"Tenure,CityTier,PreferedOrderCat,SatisfactionScore,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount",,rf
Chi Square,9,KNN_Imputer,Standard Scaling,Random Forest Classifier,0.9272,0.9549,0.6923,0.8475,0.7616,0.7191,0.7246,0.032,Churn,"Tenure,CityTier,PreferedOrderCat,SatisfactionScore,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount",,rf
Chi Square,9,KNN_Imputer,Standard Scaling,Random Forest Classifier,0.9363,0.9665,0.7313,0.8701,0.7935,0.7563,0.7609,0.031,Churn,"Tenure,CityTier,PreferedOrderCat,SatisfactionScore,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount",,rf
Chi Square,9,Iterative_Imputer,Normalization,Random Forest Classifier,0.9439,0.9664,0.7602,0.8906,0.8199,0.7869,0.7906,0.046,Churn,"Tenure,CityTier,PreferedOrderCat,SatisfactionScore,MaritalStatus,Complain,DaySinceLastOrder,CashbackAmount",,rf
